Ticket_ID,Age,Ticket_Price,Movie_Genre,Seat_Type,Number_of_Person,Purchase_Again
N4369,55,12.27,Comedy,Standard,7,No
B8091,35,19.02,Drama,Standard,Alone,Yes
V6341,55,22.52,Horror,VIP,3,No
B3243,53,23.01,Drama,Standard,6,Yes
I3814,30,21.81,Comedy,VIP,4,Yes
E5655,28,11.58,Horror,VIP,Alone,Yes
P1526,50,22.91,Action,Standard,Alone,Yes
V4726,44,23.09,Sci-Fi,Premium,7,Yes
A2029,46,12.12,Sci-Fi,Standard,Alone,Yes
P0092,48,19.63,Action,VIP,Alone,Yes
H4037,51,21.35,Action,Standard,2,Yes
L2502,56,14.06,Comedy,VIP,Alone,No
P4991,40,16.75,Horror,VIP,6,No
L1185,26,23.39,Drama,Premium,Alone,No
M6402,22,22.29,Sci-Fi,Premium,Alone,Yes
S3535,42,12.31,Horror,VIP,Alone,No
C1073,44,17.85,Comedy,Premium,Alone,No
I7517,35,21.49,Horror,VIP,2,Yes
Q8198,26,22.32,Comedy,VIP,5,Yes
E1293,54,15.68,Horror,VIP,Alone,Yes
F5223,54,16.94,Sci-Fi,Standard,Alone,No
U1989,39,16.24,Drama,VIP,Alone,No
Q7218,31,16.38,Action,Standard,Alone,No
J1556,23,18.21,Horror,Premium,4,No
V9900,53,12.25,Action,VIP,Alone,No
S3117,43,11.64,Comedy,Standard,Alone,Yes
Q8269,21,20.46,Drama,VIP,7,No
G7166,23,10.71,Comedy,Standard,Alone,No
Z4432,49,18.57,Drama,VIP,Alone,No
T5210,37,12.67,Drama,VIP,6,Yes
P9720,22,11.1,Sci-Fi,Premium,2,No
E7092,24,19.56,Comedy,Premium,7,No
U5101,46,20.04,Horror,VIP,Alone,No
H2053,32,10.09,Sci-Fi,VIP,Alone,No
R0385,33,10.05,Action,Standard,Alone,No
T7858,60,20.22,Action,Standard,2,No
S2012,45,17.09,Action,Standard,Alone,Yes
A6397,58,15.81,Drama,Premium,5,Yes
D4217,20,13.39,Sci-Fi,Standard,3,No
E2087,59,22.17,Comedy,Standard,Alone,No
I6521,49,18.5,Comedy,VIP,7,No
K1926,59,21.2,Comedy,VIP,4,Yes
E4059,49,22.32,Drama,Premium,7,Yes
P1743,20,17.09,Sci-Fi,VIP,Alone,Yes
N3988,52,22.39,Comedy,VIP,Alone,No
H2641,50,10.81,Action,Standard,Alone,Yes
R6144,29,17.75,Comedy,Standard,3,Yes
L2802,45,14.98,Comedy,Premium,5,No
Y3599,34,12.01,Action,Standard,Alone,Yes
H0893,57,15.86,Horror,VIP,Alone,No
E5484,27,24.7,Drama,Premium,7,Yes
A8535,50,14.78,Sci-Fi,Premium,5,No
A1178,58,23.78,Sci-Fi,VIP,7,No
J5739,57,13.62,Action,Premium,3,No
